Extensometer Strain (1e-6),Engineering Stress (MPa)
10313,31.4108
10331,32.76883
10347,33.83523
10362,35.02262
10383,36.33256
10397,37.35868
10415,38.72131
10429,39.81102
10447,41.07394
10466,42.21786
10479,43.35496
10498,44.62935
10514,45.70679
10529,46.9494
10547,48.08412
10565,49.30011
10580,50.50292
10594,51.59489
10616,52.94604
10630,53.99488
10645,55.27731
10665,56.41938
10680,57.62542
10700,58.93662
10714,59.95012
10732,61.29656
10750,62.35097
10766,63.5317
10784,64.82379
10800,65.88174
10820,67.24824
10834,68.26656
10855,69.58128
10870,70.78571
10888,71.85426
10909,73.29113
10925,74.26954
10945,75.68156
10959,76.7449
10976,77.86948
10997,79.28456
11010,80.14536
11032,81.56406
11046,82.65558
11059,83.70603
11084,85.18032
11097,86.16591
11118,87.60995
11131,88.56995
11150,89.7884
11170,91.14675
11185,92.08176
11206,93.54811
11220,94.55823
11238,95.77548
11257,97.02601
11272,98.00216
11292,99.41097
11309,100.46918
11326,101.66376
11346,102.94655
11359,103.99764
11382,105.26832
11395,106.43591
11417,107.62714
11433,108.81595
11451,109.99715
11468,111.15085
11486,112.33823
11503,113.46021
11522,114.54724
11538,115.79548
11554,116.83377
11572,118.08728
11588,119.19318
11605,120.29198
11623,121.65012
11639,122.55211
11659,123.91573
11676,124.98479
11692,126.02473
11712,127.45304
11724,128.25581
11745,129.71782
11760,130.58603
11776,131.65817
11796,133.03093
11809,133.81844
11830,135.18066
11844,136.20805
11862,137.27919
11885,138.64644
11894,139.40469
11916,140.85307
11931,141.74251
11946,142.80553
11967,144.10706
11976,144.8537
11997,146.17235
12013,147.06604
12027,148.14362
12046,149.31047
12056,150.15019
12076,151.38348
12091,152.38197
12107,153.43304
12124,154.57292
12138,155.55547
12156,156.7011
12172,157.71199
12189,158.77095
12204,159.80551
12219,160.87007
12236,161.86647
12253,162.98526
12270,163.99413
12283,164.95961
12301,166.16972
12315,167.04091
12335,168.20926
12350,169.24515
12365,170.23273
12383,171.55775
12397,172.25435
12418,173.5295
12432,174.4995
12446,175.43994
12467,176.73154
12477,177.42964
12497,178.73497
12510,179.62943
12526,180.56067
12545,181.90295
12558,182.60895
12577,183.91391
12593,184.88303
12608,185.82962
12627,187.19211
12638,187.81857
12661,189.17989
12672,190.04907
12687,191.04193
12706,192.26506
12718,193.02382
12737,194.23698
12750,195.18483
12768,196.15231
12786,197.30553
12801,198.18629
12819,199.31729
12833,200.32132
12850,201.3208
12865,202.3817
12882,203.32887
12897,204.33522
12912,205.38922
12929,206.35649
12944,207.3177
12962,208.40759
12973,209.26582
12990,210.33275
13006,211.3176
13022,212.24593
13040,213.47543
13053,214.21362
13070,215.43941
13084,216.38293
13099,217.23227
13121,218.56706
13130,219.18443
13149,220.40775
13163,221.30791
13179,222.19563
13196,223.46654
13208,224.0647
13229,225.30708
13243,226.22707
13257,227.11201
13279,228.48724
13290,229.0952
13313,230.36098
13323,231.22017
13338,232.09993
13359,233.39503
13369,234.00255
13386,235.21164
13403,236.1626
13420,237.02922
13436,238.14897
13451,238.91052
13468,240.02327
13485,240.98074
13499,241.90211
13520,243.00648
13533,243.88715
13549,244.87143
13566,245.82101
13580,246.78514
13596,247.73975
13613,248.70589
13628,249.58163
13647,250.56146
13661,251.43616
13676,252.32961
13694,253.40346
13708,254.15804
13726,255.11797
13742,256.09244
13757,256.87775
13777,257.98166
13791,258.61221
13808,259.67206
13823,260.49026
13838,261.17725
13857,262.32166
13869,262.79309
13887,263.80313
13903,264.55869
13918,265.21106
13939,266.29211
13950,266.71436
13968,267.67029
13988,268.44608
14002,269.01984
14024,270.04758
14034,270.39587
14056,271.26917
14073,271.86963
14088,272.33533
14109,273.20724
14125,273.4577
14145,274.16742
14164,274.66901
14182,275.02365
14207,275.67227
14225,275.92136
14246,276.38654
14273,276.79468
14293,276.99838
14318,277.39282
14344,277.63098
14370,277.77982
14396,278.00681
14422,278.12854
14449,278.20789
14480,278.45804
14505,278.37442
14534,278.50983
14567,278.57254
14595,278.4985
14629,278.73169
14655,278.51926
14690,278.65689
14725,278.63495
14752,278.45853
14790,278.7337
14820,278.30328
14853,278.46774
14888,278.47174
14916,278.23361
14954,278.52878
14982,278.14078
15016,278.27612
15052,278.3201
15088,278.09058
15135,278.43234
15165,278.09314
15198,278.17117
15236,278.20993
15265,278.01553
15306,278.27789
15333,277.87878
15370,278.10797
15406,278.07721
15435,277.8833
15472,278.08771
15504,277.90646
15540,278.00589
15573,277.98441
15605,277.91364
15642,278.05331
15674,277.96707
15710,277.97037
15743,277.97528
15780,277.95035
15812,277.936
15848,277.96799
15881,277.88916
15917,277.92685
15952,277.90567
15985,277.86258
16020,277.9819
16051,277.83691
16087,277.8988
16127,278.00439
16159,277.81735
16198,278.04861
16233,277.78665
16271,277.94174
16312,277.96008
16344,277.79834
16383,278.11826
16415,277.76328
16454,277.91452
16491,277.9801
16523,277.8136
16565,278.11661
16596,277.80676
16634,278.03912
16674,278.07629
16706,277.8768
16749,278.23563
16783,277.87164
16832,278.10703
16878,278.13721
16911,277.96814
16954,278.272
16989,277.94293
17024,278.11679
17062,278.12393
17095,278.00482
17137,278.23566
17172,278.15387
17210,278.26205
17249,278.27823
17284,278.20148
17327,278.3324
17363,278.2663
17404,278.2963
17441,278.30923
17480,278.32465
17515,278.33981
